,username,tweet
192,aoc,unacceptable need know decision block retail investor purchasing stock hedge fund freely able trade stock see fit member financial service cmte support hearing necessary
193,aoc,thanks actually trying new drugstore item skincare cerave vit c serum legit tried fancier one turned orange fast also using either cerave tinted sunscreen super serum w little powder
194,aoc,republican member congress want consequence white supremacy insurrection united state political strategy embrace white supremacist scepter confederacy get power first place
195,aoc,anyways tax rich
196,aoc,gotta admit really something see wall streeters long history treating economy casino complain message board poster also treating market casino
197,aoc,almost helped shape platform
198,aoc,people must understand depth happening president united state ordered halt deportation ice federal agency refusing comply reforming rogue dept time new vision freemariana amp abolishice
199,aoc,gap donation super helpful got link
200,aoc,quick update homework helper program assigned first family tutoring st grader reading amp writing hr week next week tip helping kid learn sound word let know
201,aoc,obama era rule reversed trump great restored quickly organize time push also end profit immigrant detention abolish death penalty reduce overall incarceration amp
202,aoc,great development amp important step done end profit caging people u must include ending profit immigrant detention amp examine use profit service squeeze family incarcerated public prison
203,aoc,quick question someone helped bomb building incited assassination attempt congress think face trial simple yes yes impeachment integrity speak justice system terrorism amp policing ever
204,aoc,let record reflect close second yeah crazy good
205,aoc,dunno politician think ending discrimination divisive might want publicly advertise
206,aoc,republican suddenly begun deeply value prioritize bipartisanship washington start supporting k check retroactive unemployment people bipartisan
207,aoc,listening really think conservative interpret right free speech right liked accepted popular matter say endanger much lie
208,aoc,given prime space say billionaire run rag specifically amplifies right wing view part entire subsidized industry right wing outlet muzzled hawley deeply unpopular aided insurrection need resign
209,aoc,guard allowed back capitol sent team three hand deliver snack capitol since resting spot restored timestamp post possible may visited team capitol making delivery
210,aoc,hawley senator missouri constituent people missouri state elected sister first black woman ever represent mo congress hawley really need clarify considers constituent amp
211,aoc,sen hawley trying wiggle inciting riot killed saying representing constituent wish overturn election resurrect confederacy
212,aoc,food produce worker wanted raise risking life covid denied asked pay healthcare amp told lucky even job went strike community supported getting raise pocket
213,aoc,bronx better
214,aoc,let go
215,aoc,another night picket line never know going meet huge thank showed solidarity produce worker delivered pizza keep party bumping happy help hand
216,aoc,padma donated
217,aoc,deleted still gotta let unionize though
218,aoc,one hand laugh know reason brazen thought going succeed
219,aoc,wanted incriminate little well
220,aoc,org follow see started case
221,aoc,jerky cooky goldfish fruit snack chip etc
222,aoc,update part snack delivered
223,aoc,already passed signed law tucked last covid bill trump signed
224,aoc,people asking yes secured covid funeral cost reimbursement nationwide effort inspired district legislation cover impacted family united state detail come fema finalizes distribution detail
225,aoc,country wide
226,aoc,dad passed away teen amp arrange service funeral expense part financial devastation never wanted anyone else experience much left fight amp small yet crucial victory
227,aoc,soon fema distribution detail finalized share get needed relief aim covid loss eligible thank many partner process get done
228,aoc,many month work tumult late dec covid package finally able work fema funeral reimbursement everyone country lost loved one due covid current status billion approved fema setting program
229,aoc,effort began elmhurst community leader flagging early disparate impact covid case compounded w devastating economic impact funeral expense got work right away partnered w prioritize relief
230,aoc,bx queen district became covid hit country spent much last year working issue devastating family funeral cost finally got done people soon able get covid funeral cost reimbursed
231,aoc,amp
232,aoc,gop lawmaker campaigned image cocking gun next photo trying violate dc law house rule sneak gun onto house floor two week white supremacist insurrection killed people
233,aoc,hope baby well
234,aoc,update look like letting back capitol offer snack etc still stand
235,aoc,rep malliotakis deliberately amplified known lie tried overturn election incited insurrection white supremacist killed people district people color safe think feel leadership shameful
236,aoc,top winter picket line accessory bullhorn glove handwarmers solidarity shout covering important issue depth deserve let get produce worker buck asking
237,aoc,yeah okay office free week service member like use break take nap couch stock snack middle moving office bit messy judge make home
238,aoc,love back
239,aoc,nice tweet sen cruz quick question also believe geneva convention view citizen geneva asking everyone belief u senator competent undermine election incite insurrection united state
240,aoc,
241,aoc,ok let cancel
242,aoc,see huntspointstrike
243,aoc,stocking bustelo hot chocolate support picket line worker later hundred strike hunt point market bronx raise need support check story amp thank food worker today
244,aoc,historic day congratulation new president new vice president must begin creating justice healing planet improving material condition people work u organize build better future
245,aoc,abolish ice
246,aoc,try starting wait short powerful fit small purse big pocket letter birmingham jail one excerpt wait find letter impactful written within context book
247,aoc,join reading drum major instinct today
248,aoc,mlk deserves actual study chance use today take work place start speech drum major instinct mountaintop beyond vietnam book wait go chaos community labor dignity
249,aoc,imagine already know much socialistic economic theory capitalistic mlk jr
250,aoc,thomas jefferson hold truth self evident men created equal question whether extremist kind dr martin luther king jr
251,aoc,jesus extremist love love enemy bless curse good hate pray despitefully use persecute
252,aoc,though initially disappointed categorized extremist continued think matter gradually gained measure satisfaction label
253,aoc,problem racial injustice economic injustice cannot solved without radical redistribution political economic power mlk jr
254,aoc,
255,aoc,imagining better future whether includes gigantic house party hug help human cope difficult time
256,aoc,penguin dance throwback time today nyt story imagining activity amp scene look forward help u difficult time pandemic looking forward big dinner w friend amp live show
257,aoc,abolish death penalty
258,aoc,jan clear folk vouch mentoring woman reading room week
259,aoc,mic bungeez yes good one page look anyone look pac section business corporate pac money found note top contributor section often employee donation
260,aoc,member voted overturn election also indicated may suspend political donation general least time
261,aoc,way tell company actually mean say giving member period bare minimum cycle reminder also elect member take corporate money amp funded small dollar donation everyday people
262,aoc,issue w donation done month measured election cycle pretty normal member get max check first mo announcement mean much bc still max ppl undermined election july
263,aoc,say confidence give capitol tour anyone last week republican want join u answering question
264,aoc,bronx amp queen constituent heard seen inbox due event week convening emergency town hall starting pm answer question check detail inbox subscribed ny newsletter
265,aoc,gop lawmaker trying backtrack like voting overturn election lie fed white supremacist base simply amplifying concern challenge legitimacy black electorate philadelphia detroit latino electorate arizona
266,aoc,hey sen hate break fact raised fist solidarity white supremacist attacked capitol may politically regret revealed still place public office resign
267,aoc,unemployment benefit retroactive
268,aoc,people really twist knot giving platform white supremacist enablers like come everyone must listen side equally fact fiction
269,aoc,bronx veteran district includes borough
270,aoc,lighter note also another viral photoshopped tweet shoe also ppl asking need shoe thanks fake sometimes people call extreme wonder many fake facebook story post exposed
271,aoc,fyi yet another viral misinformation campaign going time false tweet photoshopped look like sent call purge unsurprisingly circulating like wildfire fb amp twitter one way death threat amp targeting ramp
272,aoc,lot word wanted president thought trying overturn election would tee rightful heir trump violent mob
273,aoc,two year many u subject extremely violent threat attempt stalker amp targeted misinfo went border mob w knife amp gun foot away cbp refused protect delegation press conference anyways
274,aoc,one thing always astounds gop talent neglecting key issue affect personally care le trump used mob put colleague life danger yet noticing bad threat turned
275,aoc,know
276,aoc,colleague congress novel thought instead pledging allegiance donor class violent mob cast vote based right thing either defend people protect mob really complicated
277,aoc,want hear coup supporting gop talk blue life ever never cared safety never cared law amp order certainly care democracy care power amp invited chaos effort seize unfit serve
278,aoc,always looking way better include
279,aoc,lot people asked link last night remark ig live remark full captioning currently generated
280,aoc,many rode wave violent rhetoric least sat idly chance stop sent congress tough stuff easy choice taken gop need advice deal call
281,aoc,get u spent last year taking stance led repeated attempt life demanding guaranteed healthcare immigrant justice etc sorry lack empathy privilege first time one vote
282,aoc,offense ant
283,aoc,colleague clearly need reminder confederacy traitor democracy white supremacist never win trouble maybe resign ready run ant farm let alone serve congress
284,aoc,even one assumes totally innocent oversight department responsible remove panic button highly visible member office inform member staff
285,aoc,chaplain almost always around counsel vote talk tell heart without party line thing also joke around human
286,aoc,long standing tradition dating back second continental congress mtg body colony house cite constitution authority name sometimes guest faith leader diversity practice offer opening prayer
287,aoc,say fair way put penny given ultimatum holding end bargain going record request nothing change move impeachment tomorrow
288,aoc,walk article senate amp present case impeachment senate essentially turn kind court senator jury think impeachment manager legal prosecutor house sends argue case trump guilty
289,aoc,part house floor always viewable cspan amp sometimes member hang vote area also usually lot thing happening like committee hearing member committee thing also covid
290,aoc,required threshold vote met vote fails even bc people show voted present bring another vote pas
291,aoc,reason sometimes get member record ppl make excuse later sometimes vote create real political pressure force development sometimes vote historical record let future generation know everything could
292,aoc,mi first round rule define debate debate happens take hour second round actually vote resolution telling penny invoke th amendment
293,aoc,added rule allows member impacted covid vote proxy house floor mean member choose btwn family health amp showing crowded indoor vote vote safely quarantine necessary
294,aoc,fighting extend resource hazard pay counseling etc wed attack uphill battle bc many essential worker esp food service employed capitol rather contract employee excuse pushing anyway
295,aoc,feel free add question house procedure happy answer learned
296,aoc,kind confusing basically house floor vote bill want vote rule defines legislation packaged debated prior voting example rule voted includes provision allows u criticize trump debate
297,aoc,sure basically vote legislation often need procedural vote st today big vote resolution think congressional message resolution telling mike penny invoke th amendment voted rule
298,aoc,
299,aoc,min time house voting according covid protocol normally min member run floor vote sometimes leave open min longer due social distancing member vote group vote take hr
300,aoc,confidence enthusiasm vision inspiration go magdalena go p love rooting
301,aoc,love good luck magdalena every student throwing hat ring serve help others
302,aoc,one message member congress amplified lie undermine democracy encouraged attack capitol tried overturn election resign lust power exceeds dedication democracy simply place congress
303,aoc,gop pro police slogan never actually abt safety always abt upholding system state violence target black ppl amp ppl color tell regularly gop member defend crime reject accountability amp push officer want
304,aoc,almost though gop member promoting video illegally carrying firearm capitol ground posting image holding gun next democratic member amp inciting attack capitol consequence naturally gop cry amp playing victim
305,aoc,good morning lie difference opinion great day
306,aoc,five people died learned another officer lost life yet gop central focus right twitter count bet many even follow community covid number closely narcissism nihilism succinctly capture leadership offer
307,aoc,free advice losing ten thousand follower moment twitter start taking neo nazi violent insurrectionist maybe advertise also maybe people unfollowing disgust support coupist bc care country
308,aoc,elected official amplified amp repeated known lie election served drum corp insurrectionist drum major house kevin mccarthy rep mccarthy bear unique elevated responsibility chaos must resign
309,aoc,republican asking unity requesting capitulation deeply unwell volatile man heal unify anything accountability rule law removal clear amp present danger help stabilize present situation
310,aoc,vice chair oversight subcommittee ran investigation domestic terror law respectfully disagree problem wednesday enough law resource intelligence amp used time find
311,aoc,one first vote congress amplify known lie nation free election incited riot killed capitol police officer crawling back hashtag brought shame delegation district represent
312,aoc,pull clerk record proudly voted resolution antisemitism cite statement founded fact
